# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-155.68200788514392,0.0,0.5609221722499648,1.782778519859201,0.0,0.0
 0.18747820574032614,0.008787019406903013,0.04686955143508153,0.24999999999999997,-155.68200788514392,0.0,0.5609221722499648,1.782778519859201,0.0,0.0
 0.2649388587855406,0.017548149723646152,0.1131042661314667,0.8550756040970041,-155.40002223157063,0.0,0.559079074860314,1.7886557465057158,3.640372789120079,46.99641232039656
 0.3242451686995256,0.026283732356245953,0.1472960068712666,0.5765278734992945,-155.11978697429808,0.0,0.5571207668907318,1.7949429628713343,4.725218238649219,18.292243289163462
 0.3741342160746743,0.034994102909452776,0.1745948461935501,0.5471910320717388,-154.8413434550763,0.0,0.5550475298229065,1.8016475099331763,5.581255483352777,17.158821219143498
 0.41799325917685365,0.043679591179322096,0.19803186881288198,0.5343714992762189,-154.56473267133327,0.0,0.5528596903967482,1.8087771949558684,6.30681301228083,16.542940237836614
 0.4575610173426407,0.052340521147908096,0.2188885691298736,0.5271135208015325,-154.2899952659509,0.0,0.5505576189138214,1.8163403168824908,6.9434665525206105,16.090210053656108
 0.4938712827451673,0.06097721098008925,0.23785807502195197,0.5224281806201952,-154.01717151775645,0.0,0.548141727516273,1.8243456934599318,7.513680915575554,15.703943684621688
 0.527598229801816,0.06958997302250247,0.25536737813674565,0.5191487710223089,-153.74630133257025,0.0,0.5456124682034194,1.8328026910616209,8.031269024476057,15.346426346598916
 0.5592105642944049,0.07817911380461667,0.2717021985240551,0.5167230022553051,-153.47742423504906,0.0,0.5429703313781569,1.8417212547540474,8.505448959621498,14.999839232265778
 0.5890498588129887,0.08674493404190048,0.28706510577684885,0.5148549086247936,-153.21057936102457,0.0,0.5402158434589003,1.8511119436949282,8.942734013309193,14.654671323256508
 0.6173742095070689,0.09528772864111956,0.3016060170800145,0.5133713905824746,-152.9458054506576,0.0,0.5373495653449166,1.8609859661059092,9.34792515552088,14.305399145349861
 0.6443843160963149,0.10380778670772887,0.31543963140084613,0.5121643735511754,-152.68314084217573,0.0,0.5343720901369067,1.8713552194385732,9.724678709206863,13.948614102692497
 0.6702399318314495,0.11230539155535653,0.3286560619819411,0.5111628636689336,-152.42262346633345,0.0,0.5312840411977603,1.8822323323424828,10.075852708789311,13.582117060366318
 0.6950707035039674,0.12078082071737505,0.34132765883385396,0.5103182864807015,-152.1642908414731,0.0,0.5280860702021102,1.8936307098902987,10.403729222248371,13.204443171693583
 0.7189835768932087,0.12923434596053815,0.35351357009929424,0.5095962775817173,-151.9081800693302,0.0,0.5247788549575686,1.9055645831630463,10.710163014459308,12.814595185738103
 0.7420680111706387,0.1376662333006868,0.3652628970159619,0.5089718368431114,-151.6543278314776,0.0,0.5213630973362797,1.9180490623696733,10.996684380558403,12.411885977176865
 0.764399746259721,0.14607674302048146,0.37661693935758966,0.5084263401986465,-151.40277038635554,0.0,0.5178395211501912,1.931100194475048,11.264572328059014,11.995841184394926
 0.786043585786888,0.1544661296891772,0.38761083301165117,0.5079456276813594,-151.15354356713448,0.0,0.5142088699675851,1.9447350257941651,11.514907921408467,11.566136083906652
 0.8070554929728238,0.16283464218440188,0.3982747696899281,0.5075187408696918,-150.90668278004225,0.0,0.5104719053351134,1.9589716682713858,11.748614007655165,11.122554662868993
 0.8274841961413449,0.17118252371592194,0.40863492227854153,0.5071370660756146,-150.66222300340186,0.0,0.5066294040787848,1.9738293749813471,11.96648532331019,10.664960661367179
 0.8473724372467876,0.1795100118513902,0.41871415834703274,0.5067937388255472,-150.42019878738452,0.0,0.5026821565562771,1.9893286184070993,12.169211683134279,10.193277462259344
 0.8667579559347397,0.18781733854404198,0.42853259829538004,0.5064832211298708,-150.18064425424598,0.0,0.49863096455408384,2.005491177015613,12.35739610554902,9.707474194729468
 0.8856742745779989,0.19610473016231605,0.4381080576281841,0.5062009957321316,-149.94359309928905,0.0,0.4944766388404539,2.0223402309662126,12.531569140246349,9.20755449207851
 0.9041513314072998,0.2043724075213981,0.4474564014963232,0.5059433412205835,-149.70907859239549,0.0,0.49021999749514134,2.039900463281103,12.692200335806676,8.693548818099561
 0.922215996210519,0.2126205859166399,0.4565918319044556,0.505707164104392,-149.47713358012007,0.0,0.485861863573329,2.0581981731296644,12.839707506450523,8.16550831419584
 0.9398924941903563,0.22084947515884212,0.4655271226002182,0.5054898716903455,-149.24779048842524,0.0,0.48140306306531633,2.0772613984475643,12.974464283391477,7.623499694038038
 0.9572027572283504,0.22905927961138897,0.4742738128546771,0.5052892746494313,-149.02108132593807,0.0,0.47684442282036094,2.097120050362264,13.096806327527146,7.067601680410157
 0.9741667172084548,0.23725019822917431,0.4828423686092013,0.5051035114780689,-148.79703768776923,0.0,0.4721867685904279,2.117806060057973,13.207036472121557,6.497901711846103
 0.9908025526800878,0.24542242459934446,0.4912423174721371,0.5049309893247728,-148.57569075992578,0.0,0.4674309231003701,2.1393535399139028,13.305429007211492,5.914493158922752
 1.0071268976326286,0.25357614698378067,0.49948236257817424,0.5047703371861544,-148.35707132414774,0.0,0.4625777041484222,2.1617989605464016,13.392233281862502,5.317473681386329
 1.0231550192680194,0.2617115483633351,0.5075704792251579,0.5046203685605113,-148.141209763329,0.0,0.4576279222872567,2.1851813477681374,13.467676732756322,4.706942747878728
